d6;d7;d8;d9;d10;d11;d12
;;;;;;
-20;-20;-20;-20;-20;-20;-20
-26;-30;-34;-45;-60;-80;-120
-30;-30;-30;-30;-30;-30;-30
-38;-42;-48;-60;-78;-105;-150
-40;-40;-40;-40;-40;-40;-40
-49;-55;-62;-76;-98;-130;-190
-50;-50;-50;-50;-50;-50;-50
-61;-68;-77;-93;-120;-160;-230
-50;-50;-50;-50;-50;-50;-50
-61;-68;-77;-93;-120;-160;-230
-65;-65;-65;-65;-65;-65;-65
-78;-86;-98;-117;-149;-195;-275
-65;-65;-65;-65;-65;-65;-65
-78;-86;-98;-117;-149;-195;-275
-80;-80;-80;-80;-80;-80;-80
-96;-105;-119;-142;-180;-240;-330
-80;-80;-80;-80;-80;-80;-80
-96;-105;-119;-142;-180;-240;-330
-100;-100;-100;-100;-100;-100;-100
-119;-130;-146;-174;-220;-290;-400
-100;-100;-100;-100;-100;-100;-100
-119;-130;-146;-174;-220;-290;-400
-120;-120;-120;-120;-120;-120;-120
-142;-155;-174;-207;-260;-340;-470
-120;-120;-120;-120;-120;-120;-120
-142;-155;-174;-207;-260;-340;-470
-145;-145;-145;-145;-145;-145;-145
-170;-185;-208;-245;-305;-395;-545
-145;-145;-145;-145;-145;-145;-145
-170;-185;-208;-245;-305;-395;-545
-145;-145;-145;-145;-145;-145;-145
-170;-185;-208;-245;-305;-395;-545
-170;-170;-170;-170;-170;-170;-170
-199;-216;-242;-285;-355;-460;-630
-170;-170;-170;-170;-170;-170;-170
-199;-216;-242;-285;-355;-460;-630
-170;-170;-170;-170;-170;-170;-170
-199;-216;-242;-285;-355;-460;-630
-190;-190;-190;-190;-190;-190;-190
-222;-242;-271;-320;-400;-510;-710
-190;-190;-190;-190;-190;-190;-190
-222;-242;-271;-320;-400;-510;-710
-210;-210;-210;-210;-210;-210;-210
-246;-267;-299;-350;-440;-570;-780
-210;-210;-210;-210;-210;-210;-210
-246;-267;-299;-350;-440;-570;-780
-230;-230;-230;-230;-230;-230;-230
-270;-293;-327;-385;-480;-630;-860
-230;-230;-230;-230;-230;-230;-230
-270;-293;-327;-385;-480;-630;-860
;;;;;;
